High,Open,Low,Close,Weighted_Price,Volume_BTC,Volume_Currency
10143.74,10132.43,10126.55,10143.55,10134.37741,1.27367261,12907.87893
10143.75,10143.75,10131.43,10143.22,10136.357,0.14901169,1510.435686
10131.43,10131.43,10126.55,10126.55,10129.80333,0.047805,484.2552484
10126.55,10126.55,10126.55,10126.55,10126.55,0.03614618,366.0360991
10134.68,10134.68,10106.01,10123.19,10115.20399,11.45783559,115898.3443
10123.74,10122.04,10119.84,10123.74,10121.45935,0.31519847,3190.268501
10128.89,10113.14,10113.14,10128.89,10124.65885,0.72115963,7301.495227
10134.68,10128.9,10128.9,10134.68,10129.09862,0.02934586,297.2471101
10139.48,10134.68,10118.41,10139.48,10130.74949,14.91263674,151076.1871
10133.98,10133.98,10126.62,10128.18,10128.16529,0.6350987,6432.384607
10128.39,10128.39,10128.39,10128.39,10128.39,0.03359709,340.2844304
10130.29,10126.36,10126.02,10130.29,10126.9777,0.08924731,903.8055182
10126.5,10121.94,10121.94,10126.32,10122.12919,0.40453703,4094.77608
10126.32,10120.58,10120.58,10126.32,10120.8205,0.06344036,642.0684961
10126.32,10120.58,10118.17,10123.37,10120.24849,3.11271606,31501.46002
10117.17,10115.74,10110,10117.17,10111.52306,12.35505217,124928.3949
10116.78,10113.05,10104.17,10115.95,10105.31174,56.26596981,568585.1653
10118.44,10118.1,10118.1,10118.39,10118.28488,2.25738203,22840.83446
10118.22,10115.18,10115.18,10118.195,10117.76899,1.144168765,11577.00955
10118,10112.26,10112.26,10118,10117.2531,0.0309555,313.1846283
10122.86,10118,10118,10119.61,10118.47476,0.02992965,302.8424081
10126.23,10119.61,10119.61,10120.22,10123.10003,0.33053054,3345.99372
10122.22,10120.22,10118.7,10121,10119.04189,0.02545164,257.5462114
10127.55,10121,10118.65,10118.65,10122.70945,0.19445571,1968.418654
10124.9,10123,10118.64,10118.64,10120.08215,1.38274046,13993.44705
10124.9,10118.65,10118.65,10122.4,10120.89229,0.58879,5959.080172
10124.9,10124.9,10122.4,10124.9,10124.25362,0.09464677,958.2279041
10124.9,10124.9,10124.9,10124.9,10124.9,0.02966498,300.354956
10124.9,10124.9,10122.25,10122.25,10122.68255,0.09241322,935.4696893
10124.9,10120.61,10120.61,10124.9,10124.45252,0.02550465,258.2206179
